tconst,originalTitle,isAdult,startYear,runtimeMinutes,averageRating,numVotes,title,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,poster_url,original_language
tt0069235,Lo scopone scientifico,0,1972,113,7.5,2380,L'argent de la vieille,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,it
tt0069237,La scoumoune,0,1972,101,6.1,1106,La scoumoune,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
tt0069239,Hungry Wives,0,1972,130,5.6,3322,Season of the witch,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,en
tt0069251,Le serpent,0,1973,124,6.2,1074,Le serpent,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
tt0069257,Shaft's Big Score!,0,1972,104,6.0,3105,Les nouveaux exploits de Shaft,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069273,Sitting Target,0,1972,93,6.6,1359,La Cible hurlante,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069278,Skyjacked,0,1972,101,5.6,1996,Alerte à la bombe,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,en
tt0069279,Slaughter,0,1972,92,5.9,1054,Massacre,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
tt0069280,Slaughterhouse-Five,0,1972,104,6.8,12973,Abattoir 5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,en
tt0069281,Sleuth,0,1972,138,8.0,47330,Le Limier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,en
tt0069282,Slither,0,1973,97,6.2,1321,Slither,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,en
tt0069291,Snowball Express,0,1972,93,6.3,1790,"Trois étoiles, trente-six chandelles",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069293,Solyaris,0,1972,167,8.0,89560,Solarisse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,ru
tt0069303,Sounder,0,1972,105,7.5,4151,Sounder,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069311,Steptoe & Son,0,1972,98,6.5,1630,Bric-à-brac de père en fils,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
tt0069332,Super Fly,0,1972,91,6.4,7552,Super Fly,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069341,Tales from the Crypt,0,1972,92,6.9,11287,Contes d'outre-tombe,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,en
tt0069343,La tarantola dal ventre nero,0,1971,89,6.3,3201,La tarentule au ventre noir,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,en
tt0069369,Themroc,0,1973,110,7.0,1525,Themroc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,fr
tt0069371,They Only Kill Their Masters,0,1972,97,6.2,1151,Ils ne tuent que leurs maîtres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,en
tt0069372,The Thing with Two Heads,0,1972,91,4.4,2552,La chose à deux têtes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,en
tt0069383,Tintin et le lac aux requins,0,1972,81,6.2,2775,Tintin et le Lac aux requins,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,fr
tt0069390,Tutti i colori del buio,0,1972,95,6.6,3948,L'Alliance invisible,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,it
tt0069398,Tout va bien,0,1972,95,6.5,3558,Tout va bien,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,fr
tt0069400,Trafic,0,1971,96,7.1,6611,Trafic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,fr
tt0069404,Travels with My Aunt,0,1972,108,6.3,2243,Voyages avec ma tante,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069414,Trouble Man,0,1972,99,6.7,1269,Fureur noire,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
tt0069421,Il tuo vizio è una stanza chiusa e solo io ne ho la chiave,0,1972,97,6.7,3932,Ton vice est une chambre close dont moi seul ai la clé,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,it
tt0069427,Twins of Evil,0,1971,87,6.6,5536,Les Sévices de Dracula,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,en
tt0069436,Ulzana's Raid,0,1972,103,7.0,5769,Fureur apache,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,en
tt0069442,Une belle fille comme moi,0,1972,98,6.5,2532,Une belle fille comme moi,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,fr
tt0069451,La vallée,0,1972,101,6.4,1310,La vallée,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,fr
tt0069460,Le viager,0,1972,101,6.9,1128,Le viager,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,fr
tt0069464,Virgin Witch,0,1972,88,4.8,1313,Les collines du plaisir,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,en
tt0069466,The Visitors,0,1972,88,6.4,1392,Les visiteurs,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069467,Viskningar och rop,0,1972,91,8.0,33658,Cris et chuchotements,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,sv
tt0069492,Wesele,0,1973,102,7.0,1175,Les noces,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
tt0069495,"What's Up, Doc?",0,1972,94,7.6,23683,"On s'fait la valise, docteur?",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069515,The Wrath of God,0,1972,111,6.0,1195,La colère de Dieu,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,en
tt0069516,Zee and Co.,0,1972,110,5.8,1122,Une belle tigresse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069518,Xin du bi dao,0,1971,98,7.2,1555,La Rage du tigre,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,zh
tt0069528,Young Winston,0,1972,157,6.7,2538,Les griffes du lion,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,en
tt0069530,Z.P.G.,0,1972,97,5.6,1445,Population zéro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,en
tt0069687,Alice in den Städten,0,1974,113,7.9,11530,Alice dans les villes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,de
tt0069690,Allonsanfàn,0,1974,115,6.9,1007,Allonsanfàn,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,it
tt0069697,...altrimenti ci arrabbiamo!,0,1974,102,7.3,12257,Attention! On va s'fâcher!,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,it
tt0069704,American Graffiti,0,1973,110,7.4,88332,American Graffiti,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069713,Anche gli angeli mangiano fagioli,0,1973,118,6.2,3003,Les anges mangent aussi des fayots,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,it
tt0069715,And Now the Screaming Starts!,0,1973,91,5.9,2669,And Now the Screaming Starts!,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,es
tt0069718,Anita,0,1973,95,5.1,1597,Les Impures,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,sv
tt0069737,Ashani Sanket,0,1973,101,8.0,1505,Ashani Sanket,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bn
tt0069738,The Asphyx,0,1972,99,6.2,2562,L'esprit de la mort,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,en
tt0069745,La comtesse noire,0,1973,82,4.7,1871,La comtesse noire,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,fr
tt0069747,Les aventures de Rabbi Jacob,0,1973,100,7.4,13150,Les aventures de Rabbi Jacob,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,fr
tt0069762,Badlands,0,1973,94,7.7,71910,La balade sauvage,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069765,Bang the Drum Slowly,0,1973,96,6.8,5825,Le dernier match,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,en
tt0069768,Battle for the Planet of the Apes,0,1973,93,5.4,30759,La bataille de la planète des singes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,en
tt0069786,Billy Two Hats,0,1974,99,6.2,1394,Un colt pour une corde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,en
tt0069792,Black Caesar,0,1973,87,6.4,3464,"Black Caesar, le parrain de Harlem",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069808,Blume in Love,0,1973,115,6.3,1151,Les choses de l'amour,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,en
tt0069815,La bonne année,0,1973,115,7.3,1717,La bonne année,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,fr
